,OpenTime,BNB-USD_Open,BNB-USD_High,BNB-USD_Low,BNB-USD_Close,BNB-USD_volume,CloseTime,BNB-QuoteAssetVolume,BNB-NumberOfTrades,BNB-TBBAV,BNB-TBQAV,BNB-ignore
0,2022-01-01 01:00:00,511.5,527.9,511.4,527.3,446171.541,2022-01-02 00:59:59.999,231696121.2996,329538.0,228746.06,118795531.093,0.0
1,2022-01-02 01:00:00,527.4,533.9,518.0,531.0,404475.541,2022-01-03 00:59:59.999,212693827.9376,346252.0,201215.689,105821746.9582,0.0
2,2022-01-03 01:00:00,531.0,532.8,510.0,511.9,663841.021,2022-01-04 00:59:59.999,345896511.2778,463331.0,307248.318,160218591.7212,0.0
3,2022-01-04 01:00:00,511.9,520.0,502.0,506.9,687436.638,2022-01-05 00:59:59.999,351709153.0318,481805.0,339618.046,173854830.3378,0.0
4,2022-01-05 01:00:00,506.9,516.0,457.0,474.1,985152.004,2022-01-06 00:59:59.999,487039058.787,629399.0,468264.457,231667717.7675,0.0
5,2022-01-06 01:00:00,474.2,481.3,458.8,472.6,986669.9,2022-01-07 00:59:59.999,462959866.6669,543241.0,483572.536,226927150.9018,0.0
6,2022-01-07 01:00:00,472.6,473.9,437.5,448.1,1331260.03,2022-01-08 00:59:59.999,600028684.1946,615848.0,651085.365,293413191.1806,0.0
7,2022-01-08 01:00:00,448.1,459.7,415.0,429.9,1062788.589,2022-01-09 00:59:59.999,464082732.8109,512468.0,512118.122,223858210.4121,0.0
8,2022-01-09 01:00:00,429.8,444.5,427.0,438.7,688777.347,2022-01-10 00:59:59.999,299514285.4251,367892.0,350251.38,152326150.6956,0.0
9,2022-01-10 01:00:00,438.8,445.5,405.6,424.7,1221504.738,2022-01-11 00:59:59.999,518143646.508,550883.0,598982.046,254094710.5416,0.0
10,2022-01-11 01:00:00,424.8,467.7,421.3,463.6,1266092.819,2022-01-12 00:59:59.999,571335667.7927,670993.0,633684.189,285974081.1136,0.0
11,2022-01-12 01:00:00,463.6,489.9,456.6,487.8,836124.928,2022-01-13 00:59:59.999,395395226.9867,542753.0,423686.855,200326634.2946,0.0
12,2022-01-13 01:00:00,487.8,489.8,466.5,475.2,908052.937,2022-01-14 00:59:59.999,434855256.5301,574157.0,444646.22,212967489.4348,0.0
13,2022-01-14 01:00:00,475.1,492.3,467.6,490.0,797022.181,2022-01-15 00:59:59.999,383070562.1503,532865.0,399272.612,191940595.492,0.0
14,2022-01-15 01:00:00,489.9,500.9,485.0,494.5,548626.203,2022-01-16 00:59:59.999,270831128.9543,408859.0,273845.493,135196757.8088,0.0
15,2022-01-16 01:00:00,494.5,506.0,488.6,498.6,507042.332,2022-01-17 00:59:59.999,251862226.2236,389752.0,255573.101,126955976.8741,0.0
16,2022-01-17 01:00:00,498.6,499.1,466.9,475.2,757806.035,2022-01-18 00:59:59.999,363254557.7459,517026.0,366529.219,175776792.5506,0.0
17,2022-01-18 01:00:00,475.1,479.6,457.2,471.4,707501.577,2022-01-19 00:59:59.999,330240013.3563,451974.0,347746.444,162364731.6517,0.0
18,2022-01-19 01:00:00,471.5,473.1,453.7,461.9,585750.3,2022-01-20 00:59:59.999,272375832.0181,397483.0,288526.101,134181496.3553,0.0
19,2022-01-20 01:00:00,461.9,478.7,438.2,440.2,1137854.894,2022-01-21 00:59:59.999,528565003.8169,688607.0,571148.567,265571291.5449,0.0
20,2022-01-21 01:00:00,440.2,444.6,373.7,383.9,1891179.594,2022-01-22 00:59:59.999,780737529.9346,871503.0,924044.423,381743544.5111,0.0
21,2022-01-22 01:00:00,383.8,389.6,336.3,358.3,2635609.386,2022-01-23 00:59:59.999,949889475.2338,1039653.0,1301920.156,469510550.9883,0.0
22,2022-01-23 01:00:00,358.3,389.0,356.3,383.9,1297043.923,2022-01-24 00:59:59.999,486432084.5722,564987.0,648942.742,243330333.4258,0.0
23,2022-01-24 01:00:00,384.0,384.0,336.0,371.3,1900214.42,2022-01-25 00:59:59.999,674434639.6883,747043.0,939454.975,333557486.5505,0.0
24,2022-01-25 01:00:00,371.2,389.5,357.4,385.1,1006111.155,2022-01-26 00:59:59.999,374436795.3877,496841.0,508732.792,189366617.1185,0.0
25,2022-01-26 01:00:00,385.1,402.4,366.4,375.1,1073520.172,2022-01-27 00:59:59.999,413788334.1036,609665.0,541547.803,208804261.6785,0.0
26,2022-01-27 01:00:00,375.1,393.8,360.0,389.9,962060.888,2022-01-28 00:59:59.999,358493434.8504,530658.0,471171.641,175473344.5241,0.0
27,2022-01-28 01:00:00,389.9,395.9,375.8,385.9,752320.615,2022-01-29 00:59:59.999,290426869.6174,439977.0,386443.382,149191637.3446,0.0
28,2022-01-29 01:00:00,385.9,397.3,380.7,389.3,534573.782,2022-01-30 00:59:59.999,207593040.2279,342125.0,263033.259,102193937.2444,0.0
29,2022-01-30 01:00:00,389.4,389.6,372.2,377.2,536436.123,2022-01-31 00:59:59.999,204652766.3272,322360.0,256880.767,98025189.9016,0.0
30,2022-01-31 01:00:00,377.2,385.4,365.2,374.3,620113.734,2022-02-01 00:59:59.999,232898450.6479,360853.0,299825.668,112651437.3032,0.0
31,2022-02-01 01:00:00,374.4,388.4,373.7,384.2,555347.277,2022-02-02 00:59:59.999,212697945.1107,333563.0,287877.37,110293234.4083,0.0
32,2022-02-02 01:00:00,384.1,386.1,366.1,366.9,572340.04,2022-02-03 00:59:59.999,215596317.4431,346326.0,273049.822,102886669.806,0.0
33,2022-02-03 01:00:00,367.1,372.4,359.6,372.3,495715.227,2022-02-04 00:59:59.999,181299666.3064,300375.0,241325.244,88275011.5879,0.0
34,2022-02-04 01:00:00,372.2,399.7,369.5,399.5,849825.828,2022-02-05 00:59:59.999,326468411.3554,412637.0,456265.076,175306007.4232,0.0
