,OpenTime,MATIC-USD_Open,MATIC-USD_High,MATIC-USD_Low,MATIC-USD_Close,MATIC-USD_volume,CloseTime,MATIC-QuoteAssetVolume,MATIC-NumberOfTrades,MATIC-TBBAV,MATIC-TBQAV,MATIC-ignore
0,2022-01-01 01:00:00,2.524,2.605,2.502,2.572,51305956.1,2022-01-02 00:59:59.999,131097147.8654,280260.0,25630199.3,65505994.1565,0.0
1,2022-01-02 01:00:00,2.572,2.59,2.496,2.55,49037033.7,2022-01-03 00:59:59.999,124377674.5418,207816.0,23816099.2,60443631.9407,0.0
2,2022-01-03 01:00:00,2.55,2.552,2.361,2.432,65676503.5,2022-01-04 00:59:59.999,161778141.9744,306028.0,31452426.5,77478612.4332,0.0
3,2022-01-04 01:00:00,2.434,2.508,2.352,2.365,75096431.9,2022-01-05 00:59:59.999,182892650.0835,369192.0,35574132.2,86700016.6312,0.0
4,2022-01-05 01:00:00,2.366,2.452,2.02,2.182,116397377.1,2022-01-06 00:59:59.999,264804541.4657,561202.0,53031589.5,120824976.1567,0.0
5,2022-01-06 01:00:00,2.182,2.3,2.068,2.251,119331816.3,2022-01-07 00:59:59.999,259085533.8823,544706.0,58068257.5,126152799.2161,0.0
6,2022-01-07 01:00:00,2.251,2.266,2.042,2.053,119757574.2,2022-01-08 00:59:59.999,254895011.6821,541861.0,57477696.6,122335957.9469,0.0
7,2022-01-08 01:00:00,2.054,2.145,1.9,1.985,82923797.9,2022-01-09 00:59:59.999,167644714.8186,359121.0,39840166.0,80560129.2391,0.0
8,2022-01-09 01:00:00,1.984,2.169,1.96,2.114,65727897.0,2022-01-10 00:59:59.999,135305006.166,286950.0,31543460.8,64953031.5825,0.0
9,2022-01-10 01:00:00,2.114,2.149,1.919,2.071,105243094.3,2022-01-11 00:59:59.999,214051182.3974,447916.0,51459209.4,104671415.7785,0.0
10,2022-01-11 01:00:00,2.072,2.373,2.046,2.36,133945252.3,2022-01-12 00:59:59.999,299455676.8309,614124.0,68295546.2,152677046.2514,0.0
11,2022-01-12 01:00:00,2.361,2.449,2.305,2.398,105446906.5,2022-01-13 00:59:59.999,249034763.2087,544906.0,54836836.6,129613740.891,0.0
12,2022-01-13 01:00:00,2.397,2.441,2.24,2.265,96342184.4,2022-01-14 00:59:59.999,226402907.2935,504164.0,46782539.0,110055630.8577,0.0
13,2022-01-14 01:00:00,2.264,2.351,2.168,2.334,81154863.5,2022-01-15 00:59:59.999,184074507.9739,368529.0,39466820.6,89575056.9331,0.0
14,2022-01-15 01:00:00,2.334,2.398,2.295,2.346,54115900.4,2022-01-16 00:59:59.999,127414017.3063,289132.0,27747514.2,65347955.7536,0.0
15,2022-01-16 01:00:00,2.346,2.373,2.282,2.332,49800594.2,2022-01-17 00:59:59.999,115869595.8344,239436.0,24485449.3,56995151.7676,0.0
16,2022-01-17 01:00:00,2.332,2.452,2.163,2.219,114289288.7,2022-01-18 00:59:59.999,265763269.9908,592925.0,57904465.4,134764868.4228,0.0
17,2022-01-18 01:00:00,2.219,2.245,2.056,2.121,110374557.1,2022-01-19 00:59:59.999,236804044.2324,413640.0,52844081.2,113578199.4807,0.0
18,2022-01-19 01:00:00,2.121,2.143,2.013,2.03,92522186.7,2022-01-20 00:59:59.999,192206020.097,348139.0,44937609.6,93423585.8956,0.0
19,2022-01-20 01:00:00,2.03,2.194,1.951,1.96,91995626.7,2022-01-21 00:59:59.999,192004602.5625,366706.0,45318160.0,94622739.2778,0.0
20,2022-01-21 01:00:00,1.959,2.026,1.64,1.699,203319818.1,2022-01-22 00:59:59.999,373938339.6528,702240.0,100088538.3,184348699.1998,0.0
21,2022-01-22 01:00:00,1.698,1.756,1.396,1.536,257211366.6,2022-01-23 00:59:59.999,400754989.567,651068.0,125317500.3,195268013.1144,0.0
22,2022-01-23 01:00:00,1.537,1.67,1.509,1.617,124415371.7,2022-01-24 00:59:59.999,197308890.4989,348627.0,62651948.5,99356802.7159,0.0
23,2022-01-24 01:00:00,1.617,1.617,1.306,1.506,226249382.0,2022-01-25 00:59:59.999,320777352.3694,539349.0,111306769.6,157456960.3446,0.0
24,2022-01-25 01:00:00,1.506,1.611,1.41,1.559,134168952.6,2022-01-26 00:59:59.999,200816467.3062,384960.0,66075609.6,98920364.9328,0.0
25,2022-01-26 01:00:00,1.558,1.822,1.525,1.59,207512832.0,2022-01-27 00:59:59.999,343969788.0074,662240.0,102255831.8,169143437.0495,0.0
26,2022-01-27 01:00:00,1.589,1.668,1.496,1.589,135671959.5,2022-01-28 00:59:59.999,214492059.1195,415751.0,67550287.4,106780547.0665,0.0
27,2022-01-28 01:00:00,1.589,1.702,1.563,1.673,113781512.2,2022-01-29 00:59:59.999,186260518.7519,382391.0,57170402.6,93610028.5977,0.0
28,2022-01-29 01:00:00,1.673,1.74,1.649,1.696,59414339.5,2022-01-30 00:59:59.999,101047242.7168,240072.0,28546145.8,48567869.5924,0.0
29,2022-01-30 01:00:00,1.697,1.709,1.576,1.604,60973806.8,2022-01-31 00:59:59.999,99978189.4367,213529.0,30100260.8,49407661.4959,0.0
30,2022-01-31 01:00:00,1.604,1.652,1.523,1.641,67978844.0,2022-02-01 00:59:59.999,107807686.4361,227972.0,34521057.5,54775351.7178,0.0
31,2022-02-01 01:00:00,1.642,1.679,1.613,1.647,65117122.0,2022-02-02 00:59:59.999,107209047.1717,250932.0,33452574.4,55065273.2728,0.0
32,2022-02-02 01:00:00,1.647,1.665,1.521,1.538,59423987.6,2022-02-03 00:59:59.999,94785223.3568,226406.0,28628541.8,45686903.3545,0.0
33,2022-02-03 01:00:00,1.539,1.562,1.475,1.556,62800626.4,2022-02-04 00:59:59.999,95206576.1674,208880.0,30305223.1,45955400.5025,0.0
34,2022-02-04 01:00:00,1.556,1.696,1.535,1.694,72339034.2,2022-02-05 00:59:59.999,116747423.8831,259124.0,37251133.0,60130280.1721,0.0
35,2022-02-05 01:00:00,1.694,1.758,1.673,1.711,64562494.1,2022-02-06 00:59:59.999,111044679.6526,271875.0,32697070.9,56238967.8455,0.0
36,2022-02-06 01:00:00,1.711,1.754,1.666,1.738,46183793.8,2022-02-07 00:59:59.999,79126698.5035,191708.0,23309094.3,39968540.2716,0.0
37,2022-02-07 01:00:00,1.738,2.1,1.698,2.018,171047453.1,2022-02-08 00:59:59.999,327696751.0774,791275.0,87442193.2,167627376.4538,0.0
38,2022-02-08 01:00:00,2.018,2.048,1.859,1.941,132565496.2,2022-02-09 00:59:59.999,258391627.7998,551598.0,64630531.4,125955800.6087,0.0
39,2022-02-09 01:00:00,1.942,2.06,1.889,2.037,92733530.6,2022-02-10 00:59:59.999,183681820.1451,368224.0,45595722.1,90301636.6256,0.0
40,2022-02-10 01:00:00,2.037,2.101,1.87,1.896,127157847.1,2022-02-11 00:59:59.999,250743109.1648,540875.0,62904818.8,124180280.0424,0.0
41,2022-02-11 01:00:00,1.895,1.899,1.675,1.716,116727590.6,2022-02-12 00:59:59.999,211277231.4098,367080.0,57068136.2,103434050.7898,0.0
42,2022-02-12 01:00:00,1.715,1.765,1.641,1.701,66680406.3,2022-02-13 00:59:59.999,113239383.8018,226075.0,34136287.4,58010840.6191,0.0
43,2022-02-13 01:00:00,1.702,1.724,1.643,1.659,39312030.0,2022-02-14 00:59:59.999,66443749.3079,130943.0,19019663.8,32167646.7276,0.0
44,2022-02-14 01:00:00,1.659,1.679,1.594,1.656,68720224.6,2022-02-15 00:59:59.999,112205537.6222,209721.0,33752771.6,55148765.0721,0.0
45,2022-02-15 01:00:00,1.656,1.879,1.652,1.871,79165758.4,2022-02-16 00:59:59.999,140546416.1564,309088.0,40838858.1,72447380.9552,0.0
46,2022-02-16 01:00:00,1.871,1.878,1.731,1.836,79187974.4,2022-02-17 00:59:59.999,143526425.8652,305550.0,37427925.8,67881281.9101,0.0
47,2022-02-17 01:00:00,1.836,1.864,1.646,1.661,77223017.1,2022-02-18 00:59:59.999,135097933.0461,326340.0,35750664.0,62562554.8249,0.0
48,2022-02-18 01:00:00,1.661,1.713,1.581,1.593,72127998.5,2022-02-19 00:59:59.999,118592270.091,225736.0,35139373.0,57789759.6943,0.0
49,2022-02-19 01:00:00,1.592,1.643,1.558,1.632,43942448.1,2022-02-20 00:59:59.999,70575805.5566,159313.0,22934055.2,36853373.6159,0.0
50,2022-02-20 01:00:00,1.633,1.636,1.492,1.512,69747934.7,2022-02-21 00:59:59.999,107741186.9308,186872.0,29920789.7,46078869.0706,0.0
51,2022-02-21 01:00:00,1.511,1.615,1.4,1.405,135844993.9,2022-02-22 00:59:59.999,205801397.4814,304334.0,67012350.6,101591214.5109,0.0
52,2022-02-22 01:00:00,1.404,1.475,1.345,1.462,114722815.6,2022-02-23 00:59:59.999,162179882.8648,235769.0,58320266.4,82523105.113,0.0
53,2022-02-23 01:00:00,1.462,1.595,1.432,1.436,117998438.6,2022-02-24 00:59:59.999,179395820.8372,273132.0,57194670.6,86964856.0665,0.0
54,2022-02-24 01:00:00,1.436,1.515,1.245,1.441,272876939.5,2022-02-25 00:59:59.999,367906659.5139,510363.0,136494189.3,184024425.337,0.0
55,2022-02-25 01:00:00,1.44,1.575,1.403,1.551,124723235.9,2022-02-26 00:59:59.999,184584973.9512,280329.0,65156669.8,96470685.8467,0.0
56,2022-02-26 01:00:00,1.55,1.595,1.503,1.516,70500809.8,2022-02-27 00:59:59.999,108699862.0571,165130.0,35586317.7,54885631.3752,0.0
57,2022-02-27 01:00:00,1.517,1.547,1.422,1.453,84362806.0,2022-02-28 00:59:59.999,124895915.2868,200801.0,41633677.0,61683280.8732,0.0
58,2022-02-28 01:00:00,1.453,1.618,1.422,1.614,89337683.7,2022-03-01 00:59:59.999,135244621.7815,251249.0,47001691.4,71182862.1551,0.0
59,2022-03-01 01:00:00,1.613,1.664,1.554,1.621,112875726.8,2022-03-02 00:59:59.999,181565593.3901,302963.0,56721488.8,91288142.6016,0.0
60,2022-03-02 01:00:00,1.621,1.699,1.582,1.637,106926527.0,2022-03-03 00:59:59.999,175620449.2354,307594.0,53788649.8,88412583.6382,0.0
61,2022-03-03 01:00:00,1.636,1.652,1.544,1.586,75342727.8,2022-03-04 00:59:59.999,120342787.4757,198155.0,37413451.7,59785057.7287,0.0
62,2022-03-04 01:00:00,1.585,1.587,1.452,1.478,77638012.4,2022-03-05 00:59:59.999,118152251.5778,201426.0,37516386.9,57120970.3015,0.0
