,OpenTime,SOL-USD_Open,SOL-USD_High,SOL-USD_Low,SOL-USD_Close,SOL-USD_volume,CloseTime,SOL-QuoteAssetVolume,SOL-NumberOfTrades,SOL-TBBAV,SOL-TBQAV,SOL-ignore
0,2022-01-01 01:00:00,170.01,179.2,169.93,179.06,634599.39,2022-01-02 00:59:59.999,110585214.9165,179793.0,328250.16,57202310.0153,0.0
1,2022-01-02 01:00:00,179.06,179.53,174.31,176.35,620087.38,2022-01-03 00:59:59.999,109509310.7134,176256.0,313106.42,55294227.8368,0.0
2,2022-01-03 01:00:00,176.34,176.49,166.59,170.15,1031316.43,2022-01-04 00:59:59.999,177240351.9702,250131.0,537423.71,92331450.1178,0.0
3,2022-01-04 01:00:00,170.14,173.93,166.47,167.72,1041332.63,2022-01-05 00:59:59.999,176538222.7298,264666.0,507127.47,86029904.4601,0.0
4,2022-01-05 01:00:00,167.74,171.32,144.92,154.52,1659848.17,2022-01-06 00:59:59.999,266979906.6384,460130.0,775826.33,125014421.9546,0.0
5,2022-01-06 01:00:00,154.48,154.8,145.98,150.26,1575071.3,2022-01-07 00:59:59.999,236312050.3837,400706.0,783017.39,117506026.0991,0.0
6,2022-01-07 01:00:00,150.28,150.72,133.08,136.45,2719397.3,2022-01-08 00:59:59.999,380212392.3515,624203.0,1356742.09,189682437.9784,0.0
7,2022-01-08 01:00:00,136.43,148.11,133.0,142.14,2695415.51,2022-01-09 00:59:59.999,380841698.6352,596637.0,1333341.19,188360420.1605,0.0
8,2022-01-09 01:00:00,142.1,145.71,137.83,140.82,1435153.15,2022-01-10 00:59:59.999,203808588.2502,314235.0,708108.49,100610867.7993,0.0
9,2022-01-10 01:00:00,140.82,143.86,130.0,135.86,1894512.51,2022-01-11 00:59:59.999,257484771.7658,419461.0,941801.48,127988772.7465,0.0
10,2022-01-11 01:00:00,135.84,143.5,133.58,140.2,1328579.57,2022-01-12 00:59:59.999,184178762.8854,294874.0,655238.34,90779635.5015,0.0
11,2022-01-12 01:00:00,140.19,153.39,138.22,151.51,1946788.76,2022-01-13 00:59:59.999,284704608.1415,453450.0,1014395.7,148380253.9105,0.0
12,2022-01-13 01:00:00,151.5,157.8,145.41,146.14,1984121.59,2022-01-14 00:59:59.999,300358586.1974,471549.0,1004170.43,151995901.2656,0.0
13,2022-01-14 01:00:00,146.13,150.56,141.84,146.17,1428145.3,2022-01-15 00:59:59.999,209190212.3234,339770.0,702561.97,102878722.2901,0.0
14,2022-01-15 01:00:00,146.18,149.49,143.9,147.64,865014.75,2022-01-16 00:59:59.999,126821898.9623,205770.0,422395.84,61920893.6036,0.0
15,2022-01-16 01:00:00,147.61,151.96,146.09,147.98,964270.14,2022-01-17 00:59:59.999,143408413.9133,236998.0,475923.2,70802594.7926,0.0
16,2022-01-17 01:00:00,147.98,148.29,137.02,139.8,1297654.14,2022-01-18 00:59:59.999,184551841.5054,283258.0,619994.54,88125965.5198,0.0
17,2022-01-18 01:00:00,139.81,142.77,134.39,141.22,1254337.17,2022-01-19 00:59:59.999,173470525.6841,264708.0,612173.99,84700670.1825,0.0
18,2022-01-19 01:00:00,141.32,142.7,132.77,135.25,1175171.39,2022-01-20 00:59:59.999,160857229.2032,264765.0,579951.57,79386769.6174,0.0
19,2022-01-20 01:00:00,135.23,143.83,126.01,127.54,1464593.98,2022-01-21 00:59:59.999,200702305.013,345417.0,731310.23,100360744.2544,0.0
20,2022-01-21 01:00:00,127.54,128.73,106.11,112.27,4523020.69,2022-01-22 00:59:59.999,544063534.4105,939567.0,2184275.76,262870033.2335,0.0
21,2022-01-22 01:00:00,112.24,114.89,87.73,94.54,6455608.98,2022-01-23 00:59:59.999,635108263.4286,1002353.0,3143606.01,308952787.2915,0.0
22,2022-01-23 01:00:00,94.57,104.82,93.25,99.78,3561751.04,2022-01-24 00:59:59.999,351997642.8836,592647.0,1815827.0,179513410.6114,0.0
23,2022-01-24 01:00:00,99.74,99.83,80.83,91.93,6990036.71,2022-01-25 00:59:59.999,615205074.608,1012868.0,3409943.38,299702337.3551,0.0
24,2022-01-25 01:00:00,91.94,99.95,87.41,94.67,3482711.32,2022-01-26 00:59:59.999,324014683.736,566575.0,1745302.72,162439606.6728,0.0
25,2022-01-26 01:00:00,94.65,104.43,89.19,92.12,4501340.69,2022-01-27 00:59:59.999,434996978.6907,713943.0,2255753.0,217969271.5669,0.0
26,2022-01-27 01:00:00,92.11,94.6,85.71,89.51,3530017.76,2022-01-28 00:59:59.999,317470432.0929,538274.0,1835683.58,165086278.1446,0.0
27,2022-01-28 01:00:00,89.51,93.55,87.21,91.34,2647317.17,2022-01-29 00:59:59.999,240233251.6856,388770.0,1362062.51,123682706.7554,0.0
28,2022-01-29 01:00:00,91.35,98.93,90.5,96.13,2050891.76,2022-01-30 00:59:59.999,194994553.8294,331238.0,1077225.35,102415973.0633,0.0
29,2022-01-30 01:00:00,96.15,97.6,91.38,93.29,1258037.51,2022-01-31 00:59:59.999,118979094.2397,221424.0,617532.34,58405719.6844,0.0
30,2022-01-31 01:00:00,93.26,101.4,89.18,99.49,2414101.55,2022-02-01 00:59:59.999,229303857.837,373958.0,1257071.83,119365613.7857,0.0
31,2022-02-01 01:00:00,99.5,113.66,99.02,110.02,4190507.65,2022-02-02 00:59:59.999,451677238.5892,732735.0,2181320.44,235027830.3006,0.0
32,2022-02-02 01:00:00,109.99,112.35,96.99,101.88,4863358.1,2022-02-03 00:59:59.999,514972931.5411,757019.0,2472488.32,261826718.2503,0.0
33,2022-02-03 01:00:00,101.91,103.13,94.0,101.77,3886563.56,2022-02-04 00:59:59.999,380416658.2175,597409.0,2008174.48,196631906.8434,0.0
34,2022-02-04 01:00:00,101.83,112.81,100.28,112.62,4186388.28,2022-02-05 00:59:59.999,446505812.5773,668682.0,2157936.43,230203845.832,0.0
35,2022-02-05 01:00:00,112.63,118.6,110.22,113.75,2649019.14,2022-02-06 00:59:59.999,302738096.0985,507784.0,1335840.5,152742158.9009,0.0
36,2022-02-06 01:00:00,113.74,116.06,111.09,115.28,1561795.12,2022-02-07 00:59:59.999,177818919.2675,299806.0,789970.5,89972768.0186,0.0
37,2022-02-07 01:00:00,115.26,121.93,112.69,117.55,2730695.8,2022-02-08 00:59:59.999,323264554.6453,547477.0,1407980.1,166687995.1665,0.0
38,2022-02-08 01:00:00,117.57,120.36,109.66,113.45,2811497.5,2022-02-09 00:59:59.999,321854907.0326,525305.0,1374047.33,157341837.5028,0.0
39,2022-02-09 01:00:00,113.44,117.08,109.4,113.93,2114411.38,2022-02-10 00:59:59.999,240051448.3335,366554.0,1062788.31,120689587.7392,0.0
40,2022-02-10 01:00:00,113.96,115.38,105.68,106.17,2781581.77,2022-02-11 00:59:59.999,308218719.2783,502177.0,1374188.86,152383952.065,0.0
41,2022-02-11 01:00:00,106.18,108.14,95.14,96.53,2537227.68,2022-02-12 00:59:59.999,261118404.0618,450793.0,1266683.23,130430706.9168,0.0
42,2022-02-12 01:00:00,96.53,99.79,92.8,95.96,1803930.67,2022-02-13 00:59:59.999,173107556.4531,316001.0,904645.51,86851077.7579,0.0
43,2022-02-13 01:00:00,95.98,97.36,91.35,92.85,1216083.38,2022-02-14 00:59:59.999,115326539.3591,209303.0,631473.42,59929161.7421,0.0
44,2022-02-14 01:00:00,92.85,97.99,90.72,96.37,1792721.3,2022-02-15 00:59:59.999,169748618.5019,307476.0,917531.49,86918621.9431,0.0
45,2022-02-15 01:00:00,96.39,105.77,96.38,105.52,2362223.45,2022-02-16 00:59:59.999,240632353.7154,372791.0,1215093.32,123809188.4814,0.0
46,2022-02-16 01:00:00,105.52,105.6,98.27,101.86,2123159.11,2022-02-17 00:59:59.999,215708905.3656,326351.0,1074793.49,109218196.3038,0.0
47,2022-02-17 01:00:00,101.85,102.82,92.33,93.52,2001081.3,2022-02-18 00:59:59.999,194565671.9256,307937.0,965733.26,93944705.8172,0.0
