,OpenTime,TRX-USD_Open,TRX-USD_High,TRX-USD_Low,TRX-USD_Close,TRX-USD_volume,CloseTime,TRX-QuoteAssetVolume,TRX-NumberOfTrades,TRX-TBBAV,TRX-TBQAV,TRX-ignore
0,2022-01-01 01:00:00,0.07536,0.07683,0.07524,0.0766,1637828312.1,2022-01-02 00:59:59.999,124708558.358644,109812.0,836259288.7,63677124.394428,0.0
1,2022-01-02 01:00:00,0.07661,0.07834,0.07599,0.07762,1734586731.6,2022-01-03 00:59:59.999,133643026.510842,129152.0,894314452.9,68907181.744747,0.0
2,2022-01-03 01:00:00,0.07761,0.07824,0.07625,0.07705,1758327144.8,2022-01-04 00:59:59.999,135985970.721469,158879.0,880827114.3,68122121.624383,0.0
3,2022-01-04 01:00:00,0.07705,0.07809,0.07575,0.07592,1800024542.7,2022-01-05 00:59:59.999,138326451.893713,167194.0,900115535.0,69166986.930321,0.0
4,2022-01-05 01:00:00,0.07593,0.07745,0.0691,0.07112,1832769713.7,2022-01-06 00:59:59.999,138644815.720749,241331.0,918056995.8,69533623.987684,0.0
5,2022-01-06 01:00:00,0.07113,0.07149,0.06925,0.07106,3244970701.9,2022-01-07 00:59:59.999,228643706.744183,199231.0,1590425644.1,112041145.533823,0.0
6,2022-01-07 01:00:00,0.07107,0.07119,0.06652,0.0682,2353241534.0,2022-01-08 00:59:59.999,161298470.155776,239364.0,1219945176.3,83631061.393066,0.0
7,2022-01-08 01:00:00,0.06821,0.06918,0.06402,0.06539,1122002395.6,2022-01-09 00:59:59.999,75492240.457532,184939.0,561844420.3,37808263.036261,0.0
8,2022-01-09 01:00:00,0.06539,0.06724,0.0649,0.06611,1342231000.4,2022-01-10 00:59:59.999,88734862.338877,134872.0,707371733.3,46766766.449269,0.0
9,2022-01-10 01:00:00,0.06611,0.06692,0.06111,0.06342,1875401682.1,2022-01-11 00:59:59.999,121379245.719136,209426.0,959727596.3,62164396.143929,0.0
10,2022-01-11 01:00:00,0.06343,0.06566,0.0629,0.06493,1584213482.2,2022-01-12 00:59:59.999,101556345.53877,156479.0,835535780.9,53567483.246084,0.0
11,2022-01-12 01:00:00,0.06493,0.06834,0.06491,0.06806,1471410395.9,2022-01-13 00:59:59.999,98329749.415094,161895.0,761016174.1,50837221.171251,0.0
12,2022-01-13 01:00:00,0.06807,0.06856,0.06593,0.0662,1830087974.3,2022-01-14 00:59:59.999,123628548.341964,160274.0,929340725.6,62775613.970858,0.0
13,2022-01-14 01:00:00,0.06621,0.0685,0.06587,0.06765,1749245168.9,2022-01-15 00:59:59.999,117497731.036495,162310.0,879895304.9,59112023.429061,0.0
14,2022-01-15 01:00:00,0.06765,0.06934,0.067,0.06842,1014298584.7,2022-01-16 00:59:59.999,69082536.281932,129322.0,512918523.2,34935970.98808,0.0
15,2022-01-16 01:00:00,0.06841,0.07039,0.06829,0.06988,1278605074.3,2022-01-17 00:59:59.999,89023028.038211,146613.0,652319140.0,45419683.333509,0.0
16,2022-01-17 01:00:00,0.06988,0.07244,0.06889,0.07085,2264462911.8,2022-01-18 00:59:59.999,159661127.223001,237441.0,1146712701.0,80861865.528519,0.0
17,2022-01-18 01:00:00,0.07085,0.07138,0.06743,0.06846,1820431991.1,2022-01-19 00:59:59.999,125053869.225636,180631.0,926337652.0,63626651.596401,0.0
18,2022-01-19 01:00:00,0.06846,0.06964,0.06612,0.06915,2280024794.2,2022-01-20 00:59:59.999,155793806.87647,180848.0,1140723367.9,77950411.096037,0.0
19,2022-01-20 01:00:00,0.06915,0.07206,0.06744,0.06773,1735106694.6,2022-01-21 00:59:59.999,120843955.718616,200965.0,873322162.8,60826149.331735,0.0
20,2022-01-21 01:00:00,0.06771,0.06863,0.05971,0.06103,2597725957.6,2022-01-22 00:59:59.999,169885970.497411,288655.0,1299831218.7,85002318.127978,0.0
21,2022-01-22 01:00:00,0.06103,0.06201,0.05265,0.0568,3142285867.5,2022-01-23 00:59:59.999,179801289.113178,339456.0,1587765431.1,90857492.997054,0.0
22,2022-01-23 01:00:00,0.05679,0.05854,0.05535,0.05752,1739505171.4,2022-01-24 00:59:59.999,99472712.07927,220119.0,900299759.5,51483372.896561,0.0
23,2022-01-24 01:00:00,0.0575,0.05755,0.05101,0.05506,2711696074.2,2022-01-25 00:59:59.999,145700648.090693,329182.0,1387142256.8,74541511.60909,0.0
24,2022-01-25 01:00:00,0.05504,0.05616,0.05429,0.05588,1740384902.0,2022-01-26 00:59:59.999,96011838.313351,186084.0,889381771.6,49062571.280234,0.0
25,2022-01-26 01:00:00,0.05589,0.05905,0.05534,0.0562,1656601994.6,2022-01-27 00:59:59.999,94351917.926973,221468.0,842537653.7,47999335.793708,0.0
26,2022-01-27 01:00:00,0.05619,0.05716,0.05442,0.05649,1392669179.5,2022-01-28 00:59:59.999,77798105.375182,163317.0,685584735.3,38313913.830187,0.0
27,2022-01-28 01:00:00,0.05649,0.05767,0.0558,0.05757,1210381796.8,2022-01-29 00:59:59.999,68614852.474274,138598.0,630848123.2,35766695.447611,0.0
28,2022-01-29 01:00:00,0.05757,0.06039,0.05711,0.06034,1117040029.2,2022-01-30 00:59:59.999,65600598.855076,130590.0,577857527.7,33930492.432549,0.0
29,2022-01-30 01:00:00,0.06035,0.06054,0.05821,0.05863,1080261077.5,2022-01-31 00:59:59.999,64527175.677464,129712.0,540858350.5,32304110.261894,0.0
30,2022-01-31 01:00:00,0.05862,0.05938,0.05665,0.05906,1089882869.6,2022-02-01 00:59:59.999,63177256.704937,130666.0,553437723.3,32090785.929974,0.0
31,2022-02-01 01:00:00,0.05909,0.06025,0.05882,0.05979,1103088489.0,2022-02-02 00:59:59.999,65716323.00759,120347.0,570353410.1,33975525.99665,0.0
32,2022-02-02 01:00:00,0.05979,0.06154,0.05843,0.05847,1391192801.4,2022-02-03 00:59:59.999,83761599.129127,146396.0,704659617.9,42454695.549712,0.0
33,2022-02-03 01:00:00,0.05847,0.05987,0.05826,0.05981,1122173232.4,2022-02-04 00:59:59.999,66196504.924425,111787.0,585107372.1,34518630.215307,0.0
34,2022-02-04 01:00:00,0.05981,0.06458,0.05961,0.06441,1518651621.7,2022-02-05 00:59:59.999,94990073.27754,210338.0,799433851.6,50008370.507367,0.0
35,2022-02-05 01:00:00,0.06442,0.06621,0.06354,0.06467,1282234491.0,2022-02-06 00:59:59.999,83259560.9081,174191.0,653830258.0,42456834.489549,0.0
36,2022-02-06 01:00:00,0.06467,0.06634,0.06433,0.06617,986081488.8,2022-02-07 00:59:59.999,64420718.035902,125296.0,513167838.9,33529344.657451,0.0
37,2022-02-07 01:00:00,0.06616,0.06933,0.06523,0.06852,1614783612.6,2022-02-08 00:59:59.999,108949996.655595,197227.0,832482623.3,56179843.407198,0.0
38,2022-02-08 01:00:00,0.06852,0.07024,0.06677,0.06806,1901816275.5,2022-02-09 00:59:59.999,129952813.202254,209208.0,932065475.1,63707624.323617,0.0
