,OpenTime,XRP-USD_Open,XRP-USD_High,XRP-USD_Low,XRP-USD_Close,XRP-USD_volume,CloseTime,XRP-QuoteAssetVolume,XRP-NumberOfTrades,XRP-TBBAV,XRP-TBQAV,XRP-ignore
0,2022-01-01 01:00:00,0.8298,0.8528,0.8297,0.841,31778891.0,2022-01-01 04:59:59.999,26736322.5132,39618.0,15892926.0,13377362.3221,0.0
1,2022-01-01 05:00:00,0.841,0.8465,0.8345,0.8412,25761048.0,2022-01-01 08:59:59.999,21639296.2314,28503.0,13493498.0,11334001.0514,0.0
2,2022-01-01 09:00:00,0.8412,0.8444,0.8348,0.8388,19212965.0,2022-01-01 12:59:59.999,16141509.3713,26199.0,9662476.0,8118777.9152,0.0
3,2022-01-01 13:00:00,0.8387,0.8455,0.8386,0.8425,18258043.0,2022-01-01 16:59:59.999,15375379.7461,25114.0,9331483.0,7858599.3618,0.0
4,2022-01-01 17:00:00,0.8424,0.8557,0.8423,0.8521,21740145.0,2022-01-01 20:59:59.999,18464903.7277,34408.0,11109025.0,9435569.544,0.0
5,2022-01-01 21:00:00,0.8522,0.854,0.8444,0.8507,20225638.0,2022-01-02 00:59:59.999,17150048.7855,24396.0,10600701.0,8989094.8203,0.0
6,2022-01-02 01:00:00,0.8508,0.8511,0.8407,0.8438,18586608.0,2022-01-02 04:59:59.999,15693587.7128,26966.0,10173221.0,8591231.1032,0.0
7,2022-01-02 05:00:00,0.8438,0.8466,0.8372,0.8425,14587602.0,2022-01-02 08:59:59.999,12277383.5621,22501.0,6825441.0,5745576.1787,0.0
8,2022-01-02 09:00:00,0.8424,0.8491,0.8391,0.8453,15805669.0,2022-01-02 12:59:59.999,13360002.4288,22413.0,8170848.0,6906755.317,0.0
9,2022-01-02 13:00:00,0.8452,0.8667,0.8418,0.8556,34268006.0,2022-01-02 16:59:59.999,29200863.9831,42996.0,17849349.0,15210357.6089,0.0
10,2022-01-02 17:00:00,0.8558,0.8642,0.8454,0.8513,32383139.0,2022-01-02 20:59:59.999,27709932.9515,41266.0,16176255.0,13848182.1104,0.0
11,2022-01-02 21:00:00,0.8512,0.8613,0.8499,0.8586,14057008.0,2022-01-03 00:59:59.999,12023805.2075,20798.0,6800903.0,5815521.1369,0.0
12,2022-01-03 01:00:00,0.8586,0.8587,0.8441,0.8451,23076880.0,2022-01-03 04:59:59.999,19631289.925,26099.0,10653392.0,9062784.1471,0.0
13,2022-01-03 05:00:00,0.8451,0.8481,0.8412,0.8425,20574778.0,2022-01-03 08:59:59.999,17377855.3349,26582.0,11007018.0,9297049.3853,0.0
14,2022-01-03 09:00:00,0.8426,0.8472,0.8335,0.8448,34960615.0,2022-01-03 12:59:59.999,29367821.2151,48977.0,18401877.0,15456584.8091,0.0
15,2022-01-03 13:00:00,0.8448,0.8462,0.8365,0.8383,34220970.0,2022-01-03 16:59:59.999,28809148.5728,41503.0,16892724.0,14225261.6392,0.0
16,2022-01-03 17:00:00,0.8383,0.8394,0.8249,0.8328,34390527.0,2022-01-03 20:59:59.999,28654852.9193,46339.0,17287349.0,14407087.568,0.0
17,2022-01-03 21:00:00,0.8327,0.838,0.8213,0.8324,31394847.0,2022-01-04 00:59:59.999,26035180.1388,42984.0,15493497.0,12850049.6377,0.0
18,2022-01-04 01:00:00,0.8324,0.8344,0.8229,0.8274,30139502.0,2022-01-04 04:59:59.999,24967484.5111,34686.0,14137308.0,11711798.8346,0.0
19,2022-01-04 05:00:00,0.8274,0.8302,0.7794,0.8277,41761757.0,2022-01-04 08:59:59.999,34319888.1817,47400.0,16625394.0,13702861.4286,0.0
20,2022-01-04 09:00:00,0.8278,0.8373,0.8266,0.8358,27137277.0,2022-01-04 12:59:59.999,22566235.7713,39650.0,13949251.0,11600937.3481,0.0
21,2022-01-04 13:00:00,0.8359,0.8456,0.8304,0.8351,42939824.0,2022-01-04 16:59:59.999,35943337.0496,57938.0,24393583.0,20426959.3555,0.0
22,2022-01-04 17:00:00,0.8351,0.8367,0.815,0.825,49681441.0,2022-01-04 20:59:59.999,41059493.2174,61696.0,23502896.0,19432350.289,0.0
23,2022-01-04 21:00:00,0.8251,0.8315,0.8227,0.8228,22755943.0,2022-01-05 00:59:59.999,18835498.2611,29596.0,11468418.0,9492758.1064,0.0
24,2022-01-05 01:00:00,0.8227,0.834,0.8211,0.8306,29372454.0,2022-01-05 04:59:59.999,24338866.4303,30541.0,12622876.0,10460710.0602,0.0
25,2022-01-05 05:00:00,0.8306,0.8345,0.8281,0.8294,20303403.0,2022-01-05 08:59:59.999,16865519.411,29610.0,9883618.0,8210141.9783,0.0
26,2022-01-05 09:00:00,0.8293,0.8372,0.8241,0.8257,29053410.0,2022-01-05 12:59:59.999,24118410.1595,36238.0,14184860.0,11775616.3231,0.0
27,2022-01-05 13:00:00,0.8256,0.8308,0.8204,0.8276,31969992.0,2022-01-05 16:59:59.999,26393681.2993,46475.0,17791694.0,14690952.9741,0.0
28,2022-01-05 17:00:00,0.8276,0.8299,0.7918,0.7982,65204153.0,2022-01-05 20:59:59.999,52929633.3773,87294.0,30856416.0,25064305.478,0.0
29,2022-01-05 21:00:00,0.7982,0.8028,0.7092,0.7726,194709098.0,2022-01-06 00:59:59.999,150137651.6213,252215.0,87812783.0,67795895.1334,0.0
30,2022-01-06 01:00:00,0.7725,0.7788,0.749,0.7493,67297792.0,2022-01-06 04:59:59.999,51722547.6165,77726.0,31966013.0,24575617.3664,0.0
31,2022-01-06 05:00:00,0.7493,0.7663,0.746,0.7619,52422788.0,2022-01-06 08:59:59.999,39757810.9567,73157.0,25673186.0,19470466.1835,0.0
32,2022-01-06 09:00:00,0.7618,0.7626,0.7377,0.7489,61005439.0,2022-01-06 12:59:59.999,45751331.5532,80379.0,29901542.0,22427437.4454,0.0
33,2022-01-06 13:00:00,0.7488,0.7654,0.7421,0.7623,51885306.0,2022-01-06 16:59:59.999,39261984.2357,71913.0,26991431.0,20422645.7346,0.0
34,2022-01-06 17:00:00,0.7623,0.782,0.7601,0.781,38681674.0,2022-01-06 20:59:59.999,29793037.1892,62105.0,20244233.0,15596930.4824,0.0
35,2022-01-06 21:00:00,0.7811,0.7909,0.7764,0.7791,35909278.0,2022-01-07 00:59:59.999,28115290.5393,49889.0,16333227.0,12790060.5467,0.0
36,2022-01-07 01:00:00,0.779,0.7808,0.7387,0.7451,61350855.0,2022-01-07 04:59:59.999,46589644.4225,84391.0,26006506.0,19765655.4992,0.0
37,2022-01-07 05:00:00,0.7451,0.7548,0.7287,0.7523,73382061.0,2022-01-07 08:59:59.999,54606441.6903,97614.0,34134955.0,25402193.4423,0.0
38,2022-01-07 09:00:00,0.7522,0.7771,0.7494,0.7576,57381160.0,2022-01-07 12:59:59.999,43926578.7875,85069.0,29639337.0,22678867.8766,0.0
39,2022-01-07 13:00:00,0.7577,0.7685,0.7339,0.7482,89013199.0,2022-01-07 16:59:59.999,66872952.7451,116771.0,42611062.0,32007043.1979,0.0
40,2022-01-07 17:00:00,0.7482,0.7709,0.7434,0.765,61455914.0,2022-01-07 20:59:59.999,46702503.7754,80144.0,30446226.0,23155136.7797,0.0
41,2022-01-07 21:00:00,0.765,0.7784,0.7578,0.7634,30343573.0,2022-01-08 00:59:59.999,23221627.797,47984.0,14212202.0,10881441.8623,0.0
