,OpenTime,MATIC-USD_Open,MATIC-USD_High,MATIC-USD_Low,MATIC-USD_Close,MATIC-USD_volume,CloseTime,MATIC-QuoteAssetVolume,MATIC-NumberOfTrades,MATIC-TBBAV,MATIC-TBQAV,MATIC-ignore
0,2023-01-01 01:00:00,0.7584,0.7584,0.7542,0.7544,252429.0,2023-01-01 01:14:59.999,190887.58324,583.0,139620.7,105583.56558,0.0
1,2023-01-01 01:15:00,0.7543,0.7565,0.7542,0.7565,167079.5,2023-01-01 01:29:59.999,126227.9687,361.0,84844.0,64093.51808,0.0
2,2023-01-01 01:30:00,0.7565,0.7565,0.7512,0.7519,930272.2,2023-01-01 01:44:59.999,700462.05503,1594.0,366802.0,276149.09154,0.0
3,2023-01-01 01:45:00,0.7518,0.7527,0.7503,0.7509,372628.4,2023-01-01 01:59:59.999,280017.05593,748.0,195213.4,146684.9247,0.0
4,2023-01-01 02:00:00,0.7509,0.7509,0.7488,0.7503,654619.1,2023-01-01 02:14:59.999,490871.60501,1397.0,303877.2,227833.24964,0.0
5,2023-01-01 02:15:00,0.7503,0.7514,0.7498,0.751,363071.3,2023-01-01 02:29:59.999,272497.98936,631.0,177114.3,132918.24537,0.0
6,2023-01-01 02:30:00,0.7511,0.7511,0.7491,0.7499,158142.3,2023-01-01 02:44:59.999,118566.6952,395.0,99750.9,74786.9659,0.0
7,2023-01-01 02:45:00,0.7499,0.7539,0.7498,0.7532,221173.1,2023-01-01 02:59:59.999,166386.24807,653.0,140904.9,105995.52205,0.0
8,2023-01-01 03:00:00,0.7532,0.7532,0.7516,0.7531,137664.7,2023-01-01 03:14:59.999,103539.80678,310.0,86469.3,65031.37998,0.0
9,2023-01-01 03:15:00,0.7532,0.7542,0.7527,0.7541,211784.7,2023-01-01 03:29:59.999,159605.48866,366.0,119623.3,90157.40003,0.0
10,2023-01-01 03:30:00,0.754,0.7552,0.7537,0.7538,150829.2,2023-01-01 03:44:59.999,113795.70795,333.0,73920.0,55766.0132,0.0
11,2023-01-01 03:45:00,0.7538,0.7547,0.7529,0.753,103837.5,2023-01-01 03:59:59.999,78272.34569,226.0,57431.4,43299.75587,0.0
12,2023-01-01 04:00:00,0.7529,0.7531,0.7515,0.7516,226088.1,2023-01-01 04:14:59.999,170098.47341,435.0,132397.7,99620.67407,0.0
13,2023-01-01 04:15:00,0.7515,0.7517,0.7504,0.7516,177883.1,2023-01-01 04:29:59.999,133600.38358,369.0,101440.3,76192.76556,0.0
14,2023-01-01 04:30:00,0.7516,0.7526,0.7512,0.7525,307077.1,2023-01-01 04:44:59.999,230899.48446,360.0,151720.0,114123.56401,0.0
15,2023-01-01 04:45:00,0.7525,0.7525,0.7511,0.752,146284.3,2023-01-01 04:59:59.999,109950.78377,284.0,87103.7,65457.22271,0.0
16,2023-01-01 05:00:00,0.752,0.7524,0.7503,0.7503,208458.2,2023-01-01 05:14:59.999,156614.04873,353.0,100060.6,75157.03244,0.0
17,2023-01-01 05:15:00,0.7504,0.7507,0.7489,0.749,237682.1,2023-01-01 05:29:59.999,178203.01696,500.0,103614.6,77680.87581,0.0
18,2023-01-01 05:30:00,0.749,0.7502,0.7487,0.7491,206873.8,2023-01-01 05:44:59.999,155046.39679,366.0,59353.4,44476.06655,0.0
19,2023-01-01 05:45:00,0.749,0.7492,0.7477,0.7484,274502.3,2023-01-01 05:59:59.999,205479.30845,583.0,125752.6,94131.42047,0.0
20,2023-01-01 06:00:00,0.7485,0.7496,0.7479,0.7493,134624.3,2023-01-01 06:14:59.999,100813.48664,269.0,65913.5,49369.43072,0.0
21,2023-01-01 06:15:00,0.7492,0.7515,0.7491,0.7515,163659.9,2023-01-01 06:29:59.999,122801.44512,393.0,129020.6,96808.19144,0.0
22,2023-01-01 06:30:00,0.7516,0.752,0.7507,0.7516,165598.5,2023-01-01 06:44:59.999,124432.91847,290.0,89395.0,67163.15492,0.0
23,2023-01-01 06:45:00,0.7516,0.752,0.7511,0.7515,104810.6,2023-01-01 06:59:59.999,78775.40899,220.0,49238.8,37003.12005,0.0
24,2023-01-01 07:00:00,0.7515,0.7531,0.7514,0.753,160700.3,2023-01-01 07:14:59.999,120929.31958,351.0,99833.3,75119.89247,0.0
25,2023-01-01 07:15:00,0.7531,0.7536,0.7523,0.7533,137648.6,2023-01-01 07:29:59.999,103657.14233,299.0,77565.8,58401.36891,0.0
26,2023-01-01 07:30:00,0.7533,0.754,0.7523,0.7532,235108.1,2023-01-01 07:44:59.999,177056.40486,438.0,85578.1,64441.39114,0.0
