,OpenTime,SOL-USD_Open,SOL-USD_High,SOL-USD_Low,SOL-USD_Close,SOL-USD_volume,CloseTime,SOL-QuoteAssetVolume,SOL-NumberOfTrades,SOL-TBBAV,SOL-TBQAV,SOL-ignore
0,2023-01-01 01:00:00,9.97,10.02,9.94,9.95,40580.89,2023-01-01 01:14:59.999,405158.0817,1114.0,17397.04,173771.5188,0.0
1,2023-01-01 01:15:00,9.95,10.02,9.93,10.02,31882.63,2023-01-01 01:29:59.999,318137.8794,838.0,17630.46,175907.4723,0.0
2,2023-01-01 01:30:00,10.01,10.02,9.94,9.95,29799.44,2023-01-01 01:44:59.999,296865.6528,792.0,13608.11,135578.5167,0.0
3,2023-01-01 01:45:00,9.95,10.01,9.95,9.99,24216.71,2023-01-01 01:59:59.999,241763.4347,656.0,13386.22,133632.424,0.0
4,2023-01-01 02:00:00,9.99,10.06,9.98,10.01,28690.21,2023-01-01 02:14:59.999,287808.7155,748.0,17810.22,178693.0015,0.0
5,2023-01-01 02:15:00,10.01,10.06,10.01,10.05,41528.46,2023-01-01 02:29:59.999,416914.8951,624.0,22334.74,224258.9373,0.0
6,2023-01-01 02:30:00,10.06,10.07,10.04,10.04,31144.87,2023-01-01 02:44:59.999,313155.3411,706.0,10724.78,107869.8234,0.0
7,2023-01-01 02:45:00,10.04,10.05,10.02,10.04,16934.28,2023-01-01 02:59:59.999,169972.3895,398.0,8145.26,81766.1903,0.0
8,2023-01-01 03:00:00,10.04,10.07,10.0,10.07,28333.48,2023-01-01 03:14:59.999,284103.037,467.0,9242.82,92726.0981,0.0
9,2023-01-01 03:15:00,10.06,10.09,10.03,10.06,18554.86,2023-01-01 03:29:59.999,186657.4136,560.0,10709.5,107761.6303,0.0
10,2023-01-01 03:30:00,10.06,10.07,10.03,10.04,10018.81,2023-01-01 03:44:59.999,100646.7753,314.0,5091.55,51165.348,0.0
11,2023-01-01 03:45:00,10.04,10.04,10.01,10.02,8708.36,2023-01-01 03:59:59.999,87278.8181,292.0,4619.04,46313.6509,0.0
12,2023-01-01 04:00:00,10.02,10.02,9.94,9.96,29764.63,2023-01-01 04:14:59.999,296836.8023,880.0,11831.14,118101.5327,0.0
13,2023-01-01 04:15:00,9.95,9.98,9.91,9.96,25034.75,2023-01-01 04:29:59.999,248924.3758,902.0,12895.48,128251.6695,0.0
14,2023-01-01 04:30:00,9.96,9.97,9.94,9.96,7968.76,2023-01-01 04:44:59.999,79325.2996,283.0,3514.36,34989.1907,0.0
15,2023-01-01 04:45:00,9.96,9.98,9.93,9.97,15337.95,2023-01-01 04:59:59.999,152789.3928,487.0,11485.33,114438.3116,0.0
16,2023-01-01 05:00:00,9.97,9.99,9.89,9.9,37777.42,2023-01-01 05:14:59.999,375452.9233,1098.0,14638.41,145489.3989,0.0
17,2023-01-01 05:15:00,9.89,9.9,9.85,9.88,31119.96,2023-01-01 05:29:59.999,307293.1336,1093.0,12097.42,119480.5116,0.0
18,2023-01-01 05:30:00,9.88,9.89,9.86,9.86,20881.47,2023-01-01 05:44:59.999,206102.3925,502.0,7059.71,69703.5505,0.0
19,2023-01-01 05:45:00,9.87,9.87,9.82,9.84,25345.31,2023-01-01 05:59:59.999,249607.6878,801.0,9569.9,94287.2817,0.0
20,2023-01-01 06:00:00,9.84,9.85,9.82,9.83,13713.62,2023-01-01 06:14:59.999,134834.4972,559.0,4787.69,47097.5819,0.0
21,2023-01-01 06:15:00,9.82,9.83,9.74,9.78,49844.02,2023-01-01 06:29:59.999,487565.686,1595.0,16180.84,158392.7884,0.0
22,2023-01-01 06:30:00,9.79,9.79,9.72,9.73,16829.76,2023-01-01 06:44:59.999,164086.0727,738.0,5620.61,54747.9661,0.0
23,2023-01-01 06:45:00,9.73,9.82,9.73,9.8,23535.56,2023-01-01 06:59:59.999,230416.922,811.0,13058.21,127823.401,0.0
24,2023-01-01 07:00:00,9.8,9.84,9.79,9.81,25350.09,2023-01-01 07:14:59.999,248881.3757,694.0,12793.07,125585.8364,0.0
25,2023-01-01 07:15:00,9.81,9.82,9.79,9.82,16353.57,2023-01-01 07:29:59.999,160294.0124,388.0,7749.66,75968.0197,0.0
26,2023-01-01 07:30:00,9.81,9.82,9.79,9.8,7622.07,2023-01-01 07:44:59.999,74732.6213,304.0,3387.11,33220.5779,0.0
